Mohriak		
n48		
lon	lat	
-49.796	-34.146	
-49.478	-33.785	
-49.198	-33.391	
-49.001	-33.148	
-48.948	-32.777	
-48.637	-32.382	
-48.333	-32.079	
-47.889	-31.934	
-47.518	-31.693	
-47.080	-31.639	
-46.859	-31.517	
-46.560	-31.054	
-46.154	-30.342	
-45.826	-29.784	
-45.466	-29.287	
-44.403	-28.819	
-43.733	-28.659	
-43.096	-28.682	
-42.318	-28.731	
-42.069	-28.789	
-40.882	-28.415	
-40.002	-28.417	
-39.831	-28.317	
-39.817	-27.881	
-40.033	-27.765	
-40.131	-27.115	
-40.008	-26.769	
-39.627	-26.755	
-39.570	-26.504	
-39.795	-26.108	
-40.050	-25.775	
-39.794	-25.331	
-39.647	-24.797	
-39.412	-24.726	
-39.061	-24.215	
-38.809	-23.833	
-38.718	-23.612	
-38.529	-23.355	
-38.410	-23.040	
-38.461	-22.670	
-38.612	-22.303	
-38.633	-21.838	
-38.419	-21.426	
-38.434	-21.085	
-38.329	-20.460	
-38.083	-20.078	
-37.636	-19.812	
-37.221	-19.578	

